BlockName,latitude,longitude
PEDDAPURAM,17.09813605,82.13236972772236
ATREYAPURAM,16.853765199999998,81.78261498987507
RANGAMPETA,17.05134845,81.99740312853817
MUMMIDIVARAM,16.646411450000002,82.11641830975093
KAJULURU,16.7973104,82.15952482953708
PEDAPUDI,16.93722655,82.10862210675832
UPPALAGUPTAM,16.51989555,82.08624991304558
GOLLAPROLU,17.1920039,82.30867405498898
KATRENIKONA,16.56955595,82.21270658206049
SANKHAVARAM,17.3421794,82.32498653104949
ALAMURU,16.81871105,81.87805174309958
JAGGAMPETA,17.202786,82.02951896910626
RAJAVOMMANGI,17.4691086,82.20313101568777
P.GANNAVARAM,16.588682249999998,81.89515691390568
GOKAVARAM,17.25449615,81.88506848023846
GANGAVARAM,17.4153999,81.92773607830848
BICCAVOLU,16.9534564,82.02001477894456
TUNI,17.381941400000002,82.52074177882511
MANDAPETA,16.896833700000002,81.91817932322371
KAKINADA RURAL,16.99716705,82.24579989610243
THONDANGI,17.2269303,82.43696146200409
ADDATEEGALA,17.4901327,82.04392907995381
RAYAVARAM,16.84563885,81.98887081424834
SEETHANAGARAM,17.16956855,81.70937820022922
DEVIPATNAM,17.3610024,81.67785800430391
KORUKONDA,17.15752235,81.8334254448994
PITHAPURAM,17.1489922,82.23018860075135
AMBAJIPETA,16.6059319,81.94418185275225
Routhulapudi,17.3770873,82.3710801
I. POLAVARAM,16.67637315,82.24401751098165
RAZOLE,16.462868299999997,81.86157873328145
AMALAPURAM,16.57950675,81.99732471149382
RAVULAPALEM,16.754667050000002,81.83123002642748
KAPILESWARAPURAM,16.7702548,81.94030754557123
Y. RAMAVARAM,17.770061849999998,81.86458950069394
ALLAVARAM,16.4784373,82.00402780554934
SAMALKOTA,17.0262986,82.17772837415114
ANAPARTHY,16.900064999999998,81.97344812699096
YELESWARAM,17.305587600000003,82.1068166781143
RAMACHANDRAPURAM,16.820723700000002,82.06252456511933
KOTANANDURU,17.47287095,82.50595372380722
KIRLAMPUDI,17.1959806,82.1417209660598
PRATHIPADU,17.312718,82.25110821761959
RAJANAGARAM,17.051830449999997,81.89048865210793
U.KOTHAPALLE,18.3064143,79.8818707
MAREDUMILLI,17.66475545,81.68087545630438
AINAVILLI,16.66890755,82.02713044888611
SAKHINETIPALLE,16.3774279,81.75898406815121
KARAPA,16.889298699999998,82.16935542485508
THALLAREVU,16.8125597,82.27976266972595
KOTHAPETA,16.697399949999998,81.90761217628594
MAMIDIKUDURU,16.484924499999998,81.9307899658468
RAJAHMUNDRY URBAN,16.99819815,81.76852758864206
MALIKIPURAM,16.4088109,81.87588926649474
KAKINADA URBAN,16.95307895,82.2321677312205
RAJAHMUNDRY RURAL,17.06405665,81.78216876174747
BlockName,latitude,longitude
PEDDAPURAM,17.09813605,82.13236972772236
ATREYAPURAM,16.853765199999998,81.78261498987507
RANGAMPETA,17.05134845,81.99740312853817
MUMMIDIVARAM,16.646411450000002,82.11641830975093
KAJULURU,16.7973104,82.15952482953708
PEDAPUDI,16.93722655,82.10862210675832
UPPALAGUPTAM,16.51989555,82.08624991304558
GOLLAPROLU,17.1920039,82.30867405498898
KATRENIKONA,16.56955595,82.21270658206049
SANKHAVARAM,17.3421794,82.32498653104949
ALAMURU,16.81871105,81.87805174309958
JAGGAMPETA,17.202786,82.02951896910626
RAJAVOMMANGI,17.4691086,82.20313101568777
P.GANNAVARAM,16.588682249999998,81.89515691390568
GOKAVARAM,17.25449615,81.88506848023846
GANGAVARAM,17.4153999,81.92773607830848
BICCAVOLU,16.9534564,82.02001477894456
TUNI,17.381941400000002,82.52074177882511
MANDAPETA,16.896833700000002,81.91817932322371
KAKINADA RURAL,16.99716705,82.24579989610243
THONDANGI,17.2269303,82.43696146200409
ADDATEEGALA,17.4901327,82.04392907995381
RAYAVARAM,16.84563885,81.98887081424834
SEETHANAGARAM,17.16956855,81.70937820022922
DEVIPATNAM,17.3610024,81.67785800430391
KORUKONDA,17.15752235,81.8334254448994
PITHAPURAM,17.1489922,82.23018860075135
AMBAJIPETA,16.6059319,81.94418185275225
Routhulapudi,17.3770873,82.3710801
I. POLAVARAM,16.67637315,82.24401751098165
RAZOLE,16.462868299999997,81.86157873328145
AMALAPURAM,16.57950675,81.99732471149382
RAVULAPALEM,16.754667050000002,81.83123002642748
KAPILESWARAPURAM,16.7702548,81.94030754557123
Y. RAMAVARAM,17.770061849999998,81.86458950069394
ALLAVARAM,16.4784373,82.00402780554934
SAMALKOTA,17.0262986,82.17772837415114
ANAPARTHY,16.900064999999998,81.97344812699096
YELESWARAM,17.305587600000003,82.1068166781143
RAMACHANDRAPURAM,16.820723700000002,82.06252456511933
KOTANANDURU,17.47287095,82.50595372380722
KIRLAMPUDI,17.1959806,82.1417209660598
PRATHIPADU,16.1781607,80.3415801382233
RAJANAGARAM,17.051830449999997,81.89048865210793
U.KOTHAPALLE,18.3064143,79.8818707
MAREDUMILLI,17.66475545,81.68087545630438
AINAVILLI,16.66890755,82.02713044888611
SAKHINETIPALLE,16.3774279,81.75898406815121
KARAPA,16.889298699999998,82.16935542485508
THALLAREVU,16.8125597,82.27976266972595
KOTHAPETA,16.697399949999998,81.90761217628594
MAMIDIKUDURU,16.484924499999998,81.9307899658468
RAJAHMUNDRY URBAN,16.99819815,81.76852758864206
MALIKIPURAM,16.4088109,81.87588926649474
KAKINADA URBAN,16.95307895,82.2321677312205
RAJAHMUNDRY RURAL,17.06405665,81.78216876174747
